number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-1.0939184129921926,2025-03-25 17:03:00.272081,2025-03-25 17:03:03.201486,0 days 00:00:02.929405,80,1,10,175,COMPLETE
1,-1.0823210466551016,2025-03-25 17:03:03.201783,2025-03-25 17:03:05.856000,0 days 00:00:02.654217,180,2,4,200,COMPLETE
2,-1.1434666853895232,2025-03-25 17:03:05.856279,2025-03-25 17:03:09.127469,0 days 00:00:03.271190,30,3,7,350,COMPLETE
3,-1.151197417759171,2025-03-25 17:03:09.127759,2025-03-25 17:03:12.583412,0 days 00:00:03.455653,185,4,4,450,COMPLETE
4,-1.0759872532767607,2025-03-25 17:03:12.583701,2025-03-25 17:03:16.272801,0 days 00:00:03.689100,175,2,2,450,COMPLETE
5,-1.1347548701212191,2025-03-25 17:03:16.273063,2025-03-25 17:03:18.664490,0 days 00:00:02.391427,195,2,10,175,COMPLETE
6,-1.109212557601268,2025-03-25 17:03:18.664786,2025-03-25 17:03:21.018192,0 days 00:00:02.353406,25,2,6,150,COMPLETE
7,-1.0671038603769085,2025-03-25 17:03:21.018460,2025-03-25 17:03:24.146388,0 days 00:00:03.127928,155,1,6,150,COMPLETE
8,-1.145040417467155,2025-03-25 17:03:24.146803,2025-03-25 17:03:27.220639,0 days 00:00:03.073836,180,4,2,300,COMPLETE
9,-1.0535010587787983,2025-03-25 17:03:27.220930,2025-03-25 17:03:31.016514,0 days 00:00:03.795584,100,1,5,450,COMPLETE
10,-1.0585924088040366,2025-03-25 17:03:31.016790,2025-03-25 17:03:33.026212,0 days 00:00:02.009422,120,1,8,50,COMPLETE
11,-1.0585924088040366,2025-03-25 17:03:33.026480,2025-03-25 17:03:35.038646,0 days 00:00:02.012166,115,1,8,50,COMPLETE
12,-1.0887173941331578,2025-03-25 17:03:35.038917,2025-03-25 17:03:38.916038,0 days 00:00:03.877121,120,1,8,500,COMPLETE
13,-1.1346272793721541,2025-03-25 17:03:38.916314,2025-03-25 17:03:42.134638,0 days 00:00:03.218324,75,3,4,375,COMPLETE
14,-1.0585924088040366,2025-03-25 17:03:42.134917,2025-03-25 17:03:44.112239,0 days 00:00:01.977322,140,1,8,50,COMPLETE
15,-1.0482018767103312,2025-03-25 17:03:44.112512,2025-03-25 17:03:47.435851,0 days 00:00:03.323339,80,1,5,250,COMPLETE
16,-1.1410262556877446,2025-03-25 17:03:47.436117,2025-03-25 17:03:50.127992,0 days 00:00:02.691875,75,3,5,250,COMPLETE
17,-1.0757392499237703,2025-03-25 17:03:50.128355,2025-03-25 17:03:53.574591,0 days 00:00:03.446236,45,2,3,350,COMPLETE
18,-1.0458898545035338,2025-03-25 17:03:53.574882,2025-03-25 17:03:56.841722,0 days 00:00:03.266840,95,1,5,275,COMPLETE
19,-1.0882546390124477,2025-03-25 17:03:56.842061,2025-03-25 17:03:59.817810,0 days 00:00:02.975749,60,2,5,275,COMPLETE
20,-1.0092198248193482,2025-03-25 17:03:59.818102,2025-03-25 17:04:02.726714,0 days 00:00:02.908612,95,1,3,225,COMPLETE
21,-1.0092198248193482,2025-03-25 17:04:02.727005,2025-03-25 17:04:05.652384,0 days 00:00:02.925379,95,1,3,225,COMPLETE
22,-0.9936650150600089,2025-03-25 17:04:05.652672,2025-03-25 17:04:08.310370,0 days 00:00:02.657698,100,1,3,100,COMPLETE
23,-0.9840424097533121,2025-03-25 17:04:08.310656,2025-03-25 17:04:10.616562,0 days 00:00:02.305906,135,1,2,100,COMPLETE
24,-1.0628064633918755,2025-03-25 17:04:10.616859,2025-03-25 17:04:12.806582,0 days 00:00:02.189723,145,2,3,100,COMPLETE
25,-0.9840424097533121,2025-03-25 17:04:12.806879,2025-03-25 17:04:15.210151,0 days 00:00:02.403272,140,1,2,100,COMPLETE
26,-1.0783772215630656,2025-03-25 17:04:15.210442,2025-03-25 17:04:17.661508,0 days 00:00:02.451066,135,2,2,125,COMPLETE
27,-0.9840424097533121,2025-03-25 17:04:17.661827,2025-03-25 17:04:20.059174,0 days 00:00:02.397347,160,1,2,100,COMPLETE
28,-1.143276571732667,2025-03-25 17:04:20.059441,2025-03-25 17:04:22.405641,0 days 00:00:02.346200,160,3,2,100,COMPLETE
29,-0.9699342268267577,2025-03-25 17:04:22.405936,2025-03-25 17:04:24.771324,0 days 00:00:02.365388,165,1,2,75,COMPLETE
30,-1.0013425796575977,2025-03-25 17:04:24.771617,2025-03-25 17:04:27.255428,0 days 00:00:02.483811,130,1,4,75,COMPLETE
31,-1.0068481798091817,2025-03-25 17:04:27.255843,2025-03-25 17:04:30.553344,0 days 00:00:03.297501,160,1,2,150,COMPLETE
32,-0.9971881955893175,2025-03-25 17:04:30.553634,2025-03-25 17:04:33.006811,0 days 00:00:02.453177,170,1,2,125,COMPLETE
33,-0.9811593867605691,2025-03-25 17:04:33.007114,2025-03-25 17:04:35.166975,0 days 00:00:02.159861,145,1,3,75,COMPLETE
34,-0.9811593867605691,2025-03-25 17:04:35.167275,2025-03-25 17:04:37.353559,0 days 00:00:02.186284,200,1,3,75,COMPLETE
35,-1.061247430144461,2025-03-25 17:04:37.353866,2025-03-25 17:04:39.469208,0 days 00:00:02.115342,200,2,3,75,COMPLETE
36,-1.0770891576036326,2025-03-25 17:04:39.469492,2025-03-25 17:04:42.213530,0 days 00:00:02.744038,185,2,4,175,COMPLETE
37,-0.9811593867605691,2025-03-25 17:04:42.213829,2025-03-25 17:04:44.384621,0 days 00:00:02.170792,190,1,3,75,COMPLETE
38,-1.1732081413124955,2025-03-25 17:04:44.384934,2025-03-25 17:04:46.443759,0 days 00:00:02.058825,195,4,4,75,COMPLETE
39,-1.1360323761911275,2025-03-25 17:04:46.444033,2025-03-25 17:04:48.831153,0 days 00:00:02.387120,185,2,10,150,COMPLETE
40,-1.0140672633819232,2025-03-25 17:04:48.831458,2025-03-25 17:04:52.078278,0 days 00:00:03.246820,170,1,3,200,COMPLETE
41,-0.9911615684866514,2025-03-25 17:04:52.078555,2025-03-25 17:04:54.106383,0 days 00:00:02.027828,10,1,3,50,COMPLETE
42,-0.9971881955893175,2025-03-25 17:04:54.106654,2025-03-25 17:04:56.620911,0 days 00:00:02.514257,150,1,2,125,COMPLETE
43,-1.0013425796575977,2025-03-25 17:04:56.621188,2025-03-25 17:04:58.803322,0 days 00:00:02.182134,190,1,4,75,COMPLETE
44,-1.0048873844472417,2025-03-25 17:04:58.803619,2025-03-25 17:05:01.258603,0 days 00:00:02.454984,175,1,3,125,COMPLETE
45,-0.9748867945832913,2025-03-25 17:05:01.258909,2025-03-25 17:05:03.358285,0 days 00:00:02.099376,200,1,2,50,COMPLETE
46,-1.0988876024047853,2025-03-25 17:05:03.358562,2025-03-25 17:05:05.356714,0 days 00:00:01.998152,200,2,7,50,COMPLETE
47,-0.9811593867605691,2025-03-25 17:05:05.357007,2025-03-25 17:05:07.531446,0 days 00:00:02.174439,175,1,3,75,COMPLETE
48,-1.0253782511910368,2025-03-25 17:05:07.531752,2025-03-25 17:05:10.157853,0 days 00:00:02.626101,190,1,4,175,COMPLETE
49,-0.9748867945832913,2025-03-25 17:05:10.158146,2025-03-25 17:05:12.741029,0 days 00:00:02.582883,165,1,2,50,COMPLETE
