number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.7007790972664761,2025-03-25 17:02:15.781943,2025-03-25 17:02:16.847578,0 days 00:00:01.065635,195,4,4,500,COMPLETE
1,-0.6279505182899335,2025-03-25 17:02:16.847919,2025-03-25 17:02:17.502869,0 days 00:00:00.654950,190,3,7,250,COMPLETE
2,-0.4545688075077177,2025-03-25 17:02:17.503141,2025-03-25 17:02:18.111571,0 days 00:00:00.608430,200,1,2,175,COMPLETE
3,-0.7124630168537257,2025-03-25 17:02:18.111844,2025-03-25 17:02:19.072461,0 days 00:00:00.960617,125,4,10,475,COMPLETE
4,-0.655997340366088,2025-03-25 17:02:19.072727,2025-03-25 17:02:20.004046,0 days 00:00:00.931319,155,1,6,425,COMPLETE
5,-0.7032064779393404,2025-03-25 17:02:20.004299,2025-03-25 17:02:20.868518,0 days 00:00:00.864219,180,4,5,400,COMPLETE
6,-0.45321264872374556,2025-03-25 17:02:20.868788,2025-03-25 17:02:21.569248,0 days 00:00:00.700460,135,1,2,225,COMPLETE
7,-0.5200015245526671,2025-03-25 17:02:21.569505,2025-03-25 17:02:22.324078,0 days 00:00:00.754573,155,2,2,250,COMPLETE
8,-0.6178478645571835,2025-03-25 17:02:22.324376,2025-03-25 17:02:22.772466,0 days 00:00:00.448090,75,3,2,75,COMPLETE
9,-0.6984415496850875,2025-03-25 17:02:22.772821,2025-03-25 17:02:23.359842,0 days 00:00:00.587021,175,4,5,150,COMPLETE
10,-0.6225576319709089,2025-03-25 17:02:23.360159,2025-03-25 17:02:24.332425,0 days 00:00:00.972266,30,2,9,350,COMPLETE
11,-0.4881321230033759,2025-03-25 17:02:24.332776,2025-03-25 17:02:25.080581,0 days 00:00:00.747805,100,1,3,175,COMPLETE
12,-0.4898544333605786,2025-03-25 17:02:25.080928,2025-03-25 17:02:25.730562,0 days 00:00:00.649634,120,1,3,150,COMPLETE
13,-0.5234002199755414,2025-03-25 17:02:25.730890,2025-03-25 17:02:26.636914,0 days 00:00:00.906024,15,2,2,300,COMPLETE
14,-0.5508213697694683,2025-03-25 17:02:26.637272,2025-03-25 17:02:27.103245,0 days 00:00:00.465973,70,1,4,75,COMPLETE
15,-0.6142989991946485,2025-03-25 17:02:27.103536,2025-03-25 17:02:27.774409,0 days 00:00:00.670873,140,2,8,200,COMPLETE
16,-0.48691730003533706,2025-03-25 17:02:27.774718,2025-03-25 17:02:28.755517,0 days 00:00:00.980799,95,1,3,300,COMPLETE
17,-0.5452156128114816,2025-03-25 17:02:28.755856,2025-03-25 17:02:29.236133,0 days 00:00:00.480277,160,1,4,100,COMPLETE
18,-0.6219626809141044,2025-03-25 17:02:29.236423,2025-03-25 17:02:29.719945,0 days 00:00:00.483522,200,3,6,125,COMPLETE
19,-0.5098010412695422,2025-03-25 17:02:29.720235,2025-03-25 17:02:30.394885,0 days 00:00:00.674650,55,2,2,225,COMPLETE
20,-0.6065684867065634,2025-03-25 17:02:30.395198,2025-03-25 17:02:30.777162,0 days 00:00:00.381964,125,1,5,50,COMPLETE
21,-0.48691730003533706,2025-03-25 17:02:30.777450,2025-03-25 17:02:31.635709,0 days 00:00:00.858259,100,1,3,300,COMPLETE
22,-0.48802468256206993,2025-03-25 17:02:31.636046,2025-03-25 17:02:32.547319,0 days 00:00:00.911273,85,1,3,325,COMPLETE
23,-0.5082377441639007,2025-03-25 17:02:32.547658,2025-03-25 17:02:33.195123,0 days 00:00:00.647465,140,2,2,200,COMPLETE
24,-0.4874146592314798,2025-03-25 17:02:33.195425,2025-03-25 17:02:34.182796,0 days 00:00:00.987371,50,1,3,350,COMPLETE
25,-0.5451119526268252,2025-03-25 17:02:34.183126,2025-03-25 17:02:35.024170,0 days 00:00:00.841044,115,1,4,275,COMPLETE
26,-0.5098010412695422,2025-03-25 17:02:35.024565,2025-03-25 17:02:35.761073,0 days 00:00:00.736508,90,2,2,225,COMPLETE
27,-0.4903048292511862,2025-03-25 17:02:35.761529,2025-03-25 17:02:37.147096,0 days 00:00:01.385567,175,1,3,375,COMPLETE
28,-0.6340961215119983,2025-03-25 17:02:37.147402,2025-03-25 17:02:38.112578,0 days 00:00:00.965176,135,2,7,275,COMPLETE
29,-0.5379754575336385,2025-03-25 17:02:38.112997,2025-03-25 17:02:38.941234,0 days 00:00:00.828237,55,1,4,200,COMPLETE
30,-0.6108918018859635,2025-03-25 17:02:38.941521,2025-03-25 17:02:39.461800,0 days 00:00:00.520279,110,3,5,150,COMPLETE
31,-0.48691730003533706,2025-03-25 17:02:39.462086,2025-03-25 17:02:40.306897,0 days 00:00:00.844811,100,1,3,300,COMPLETE
32,-0.48796478045827546,2025-03-25 17:02:40.307195,2025-03-25 17:02:41.060386,0 days 00:00:00.753191,85,1,3,250,COMPLETE
33,-0.45710014586699926,2025-03-25 17:02:41.060665,2025-03-25 17:02:41.990289,0 days 00:00:00.929624,100,1,2,325,COMPLETE
34,-0.46598190600417694,2025-03-25 17:02:41.990569,2025-03-25 17:02:43.152727,0 days 00:00:01.162158,190,1,2,450,COMPLETE
35,-0.4638628629124952,2025-03-25 17:02:43.153027,2025-03-25 17:02:44.396877,0 days 00:00:01.243850,190,1,2,500,COMPLETE
36,-0.5232265689134694,2025-03-25 17:02:44.397175,2025-03-25 17:02:45.538702,0 days 00:00:01.141527,185,2,2,500,COMPLETE
37,-0.6614464244185876,2025-03-25 17:02:45.539035,2025-03-25 17:02:46.502626,0 days 00:00:00.963591,160,1,10,450,COMPLETE
38,-0.4558222599207736,2025-03-25 17:02:46.502938,2025-03-25 17:02:47.563797,0 days 00:00:01.060859,170,1,2,400,COMPLETE
39,-0.5205469940237683,2025-03-25 17:02:47.564094,2025-03-25 17:02:48.465729,0 days 00:00:00.901635,165,2,4,375,COMPLETE
40,-0.6298443919748076,2025-03-25 17:02:48.466050,2025-03-25 17:02:49.357586,0 days 00:00:00.891536,200,3,7,400,COMPLETE
41,-0.4638628629124952,2025-03-25 17:02:49.357891,2025-03-25 17:02:50.590950,0 days 00:00:01.233059,170,1,2,500,COMPLETE
