number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.8484245159935385,2025-03-25 17:05:15.569763,2025-03-25 17:05:53.673700,0 days 00:00:38.103937,100,4,2,150,COMPLETE
1,-0.8448397075607529,2025-03-25 17:05:53.673984,2025-03-25 17:06:28.914659,0 days 00:00:35.240675,30,2,7,125,COMPLETE
2,-0.8517127016216173,2025-03-25 17:06:28.914967,2025-03-25 17:06:54.868063,0 days 00:00:25.953096,145,4,7,75,COMPLETE
3,-0.8470626594060406,2025-03-25 17:06:54.868360,2025-03-25 17:07:47.097688,0 days 00:00:52.229328,25,4,3,250,COMPLETE
4,-0.8485606505505138,2025-03-25 17:07:47.097983,2025-03-25 17:08:48.870590,0 days 00:01:01.772607,65,4,10,350,COMPLETE
5,-0.8467343972228107,2025-03-25 17:08:48.870880,2025-03-25 17:10:00.591353,0 days 00:01:11.720473,115,4,5,475,COMPLETE
6,-0.8528934559934447,2025-03-25 17:10:00.591617,2025-03-25 17:10:20.027694,0 days 00:00:19.436077,185,3,9,50,COMPLETE
7,-0.8412554988959036,2025-03-25 17:10:20.027998,2025-03-25 17:11:19.792142,0 days 00:00:59.764144,170,2,9,350,COMPLETE
8,-0.8356348619240093,2025-03-25 17:11:19.792426,2025-03-25 17:12:30.372753,0 days 00:01:10.580327,15,1,5,450,COMPLETE
9,-0.847610283730723,2025-03-25 17:12:30.373018,2025-03-25 17:13:13.663087,0 days 00:00:43.290069,85,4,9,250,COMPLETE
10,-0.8652131553735344,2025-03-25 17:13:13.663374,2025-03-25 17:14:42.928563,0 days 00:01:29.265189,55,1,5,500,COMPLETE
11,-0.8730501641915248,2025-03-25 17:14:42.928842,2025-03-25 17:15:53.851779,0 days 00:01:10.922937,200,1,4,375,COMPLETE
12,-0.8448432366106134,2025-03-25 17:15:53.852068,2025-03-25 17:17:00.827536,0 days 00:01:06.975468,150,2,7,400,COMPLETE
13,-0.8463677267074411,2025-03-25 17:17:00.827830,2025-03-25 17:18:11.949145,0 days 00:01:11.121315,160,2,6,425,COMPLETE
14,-0.8525726398718249,2025-03-25 17:18:11.949417,2025-03-25 17:19:11.811557,0 days 00:00:59.862140,125,1,8,325,COMPLETE
15,-0.8441763357686328,2025-03-25 17:19:11.811817,2025-03-25 17:20:23.056119,0 days 00:01:11.244302,170,3,5,450,COMPLETE
