number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.3203776628823383,2025-03-25 17:47:17.052360,2025-03-25 17:47:17.651208,0 days 00:00:00.598848,150,2,10,475,COMPLETE
1,-0.32031201903918266,2025-03-25 17:47:17.651531,2025-03-25 17:47:18.194741,0 days 00:00:00.543210,135,2,9,425,COMPLETE
2,-0.32390093505560635,2025-03-25 17:47:18.195100,2025-03-25 17:47:18.561208,0 days 00:00:00.366108,130,3,4,225,COMPLETE
3,-0.3563555770152587,2025-03-25 17:47:18.561446,2025-03-25 17:47:19.140284,0 days 00:00:00.578838,75,2,3,375,COMPLETE
4,-0.32118290515655096,2025-03-25 17:47:19.140557,2025-03-25 17:47:19.476130,0 days 00:00:00.335573,70,1,7,200,COMPLETE
5,-0.3767927797549664,2025-03-25 17:47:19.476426,2025-03-25 17:47:19.733084,0 days 00:00:00.256658,75,1,4,100,COMPLETE
6,-0.3227023539795164,2025-03-25 17:47:19.733409,2025-03-25 17:47:20.110855,0 days 00:00:00.377446,115,1,7,225,COMPLETE
7,-0.3205869863347544,2025-03-25 17:47:20.111145,2025-03-25 17:47:20.639879,0 days 00:00:00.528734,160,4,6,400,COMPLETE
8,-0.31710677240861296,2025-03-25 17:47:20.640186,2025-03-25 17:47:20.887996,0 days 00:00:00.247810,30,4,6,125,COMPLETE
9,-0.3193640323214216,2025-03-25 17:47:20.888275,2025-03-25 17:47:21.355580,0 days 00:00:00.467305,40,4,9,350,COMPLETE
10,-0.322419036643911,2025-03-25 17:47:21.355856,2025-03-25 17:47:21.534698,0 days 00:00:00.178842,10,3,6,50,COMPLETE
11,-0.3189319870516581,2025-03-25 17:47:21.534964,2025-03-25 17:47:22.015016,0 days 00:00:00.480052,15,4,8,325,COMPLETE
12,-0.3186903240346319,2025-03-25 17:47:22.015301,2025-03-25 17:47:22.486834,0 days 00:00:00.471533,15,4,8,300,COMPLETE
13,-0.32330172714034106,2025-03-25 17:47:22.487121,2025-03-25 17:47:22.784784,0 days 00:00:00.297663,40,3,5,150,COMPLETE
14,-0.3186903240346319,2025-03-25 17:47:22.785039,2025-03-25 17:47:23.208768,0 days 00:00:00.423729,40,4,2,300,COMPLETE
15,-0.3168497002911905,2025-03-25 17:47:23.209051,2025-03-25 17:47:23.482881,0 days 00:00:00.273830,200,3,8,150,COMPLETE
16,-0.319520882462603,2025-03-25 17:47:23.483159,2025-03-25 17:47:23.774229,0 days 00:00:00.291070,195,3,7,150,COMPLETE
17,-0.322419036643911,2025-03-25 17:47:23.774499,2025-03-25 17:47:23.955298,0 days 00:00:00.180799,200,3,5,50,COMPLETE
18,-0.31710677240861296,2025-03-25 17:47:23.955534,2025-03-25 17:47:24.207336,0 days 00:00:00.251802,95,4,10,125,COMPLETE
19,-0.3168904249930395,2025-03-25 17:47:24.207577,2025-03-25 17:47:24.505499,0 days 00:00:00.297922,175,3,8,175,COMPLETE
20,-0.3191179903639902,2025-03-25 17:47:24.505730,2025-03-25 17:47:24.879188,0 days 00:00:00.373458,180,2,8,250,COMPLETE
21,-0.3235238657496853,2025-03-25 17:47:24.879434,2025-03-25 17:47:25.198472,0 days 00:00:00.319038,175,3,6,175,COMPLETE
22,-0.3139162558946414,2025-03-25 17:47:25.198703,2025-03-25 17:47:25.422497,0 days 00:00:00.223794,175,3,9,100,COMPLETE
23,-0.31619219549319594,2025-03-25 17:47:25.422725,2025-03-25 17:47:25.619415,0 days 00:00:00.196690,175,3,9,75,COMPLETE
24,-0.3139162558946414,2025-03-25 17:47:25.619646,2025-03-25 17:47:25.841694,0 days 00:00:00.222048,150,3,9,100,COMPLETE
25,-0.31619219549319594,2025-03-25 17:47:25.841932,2025-03-25 17:47:26.038160,0 days 00:00:00.196228,155,2,9,75,COMPLETE
26,-0.3139162558946414,2025-03-25 17:47:26.038390,2025-03-25 17:47:26.268109,0 days 00:00:00.229719,140,3,10,100,COMPLETE
27,-0.3139162558946414,2025-03-25 17:47:26.268358,2025-03-25 17:47:26.489639,0 days 00:00:00.221281,135,2,10,100,COMPLETE
28,-0.3139162558946414,2025-03-25 17:47:26.489890,2025-03-25 17:47:26.712544,0 days 00:00:00.222654,120,3,10,100,COMPLETE
29,-0.32148582806514575,2025-03-25 17:47:26.712784,2025-03-25 17:47:27.341555,0 days 00:00:00.628771,155,3,10,500,COMPLETE
30,-0.314249887529685,2025-03-25 17:47:27.341891,2025-03-25 17:47:27.520409,0 days 00:00:00.178518,145,2,9,50,COMPLETE
31,-0.3139162558946414,2025-03-25 17:47:27.520644,2025-03-25 17:47:27.742998,0 days 00:00:00.222354,140,2,10,100,COMPLETE
32,-0.31710677240861296,2025-03-25 17:47:27.743265,2025-03-25 17:47:27.990498,0 days 00:00:00.247233,100,2,10,125,COMPLETE
33,-0.31619219549319594,2025-03-25 17:47:27.990748,2025-03-25 17:47:28.187709,0 days 00:00:00.196961,125,2,9,75,COMPLETE
34,-0.3147491601639904,2025-03-25 17:47:28.187971,2025-03-25 17:47:28.518687,0 days 00:00:00.330716,135,3,10,200,COMPLETE
35,-0.3202142740152944,2025-03-25 17:47:28.518941,2025-03-25 17:47:29.097674,0 days 00:00:00.578733,165,2,9,450,COMPLETE
36,-0.31538856604278626,2025-03-25 17:47:29.097990,2025-03-25 17:47:29.401474,0 days 00:00:00.303484,110,1,10,175,COMPLETE
37,-0.3178315608371054,2025-03-25 17:47:29.401729,2025-03-25 17:47:29.627897,0 days 00:00:00.226168,145,3,7,100,COMPLETE
38,-0.31710677240861296,2025-03-25 17:47:29.628129,2025-03-25 17:47:29.896430,0 days 00:00:00.268301,185,2,9,125,COMPLETE
39,-0.31622625204180893,2025-03-25 17:47:29.896685,2025-03-25 17:47:30.276385,0 days 00:00:00.379700,130,3,10,225,COMPLETE
40,-0.3147491601639904,2025-03-25 17:47:30.276671,2025-03-25 17:47:30.627880,0 days 00:00:00.351209,165,1,9,200,COMPLETE
41,-0.3139162558946414,2025-03-25 17:47:30.628139,2025-03-25 17:47:30.870663,0 days 00:00:00.242524,115,3,10,100,COMPLETE
42,-0.31619219549319594,2025-03-25 17:47:30.870922,2025-03-25 17:47:31.084223,0 days 00:00:00.213301,90,3,10,75,COMPLETE
43,-0.3139162558946414,2025-03-25 17:47:31.084499,2025-03-25 17:47:31.327712,0 days 00:00:00.243213,125,3,9,100,COMPLETE
44,-0.31581971126952035,2025-03-25 17:47:31.327975,2025-03-25 17:47:31.625472,0 days 00:00:00.297497,150,3,10,150,COMPLETE
45,-0.31710677240861296,2025-03-25 17:47:31.625731,2025-03-25 17:47:31.874051,0 days 00:00:00.248320,120,4,8,125,COMPLETE
46,-0.314249887529685,2025-03-25 17:47:31.874279,2025-03-25 17:47:32.042919,0 days 00:00:00.168640,80,3,9,50,COMPLETE
47,-0.3170967780875012,2025-03-25 17:47:32.043149,2025-03-25 17:47:32.237590,0 days 00:00:00.194441,135,2,8,75,COMPLETE
48,-0.31581971126952035,2025-03-25 17:47:32.237860,2025-03-25 17:47:32.523824,0 days 00:00:00.285964,165,3,10,150,COMPLETE
49,-0.3139162558946414,2025-03-25 17:47:32.524081,2025-03-25 17:47:32.758830,0 days 00:00:00.234749,105,4,3,100,COMPLETE
