number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.9948076665761194,2025-03-25 17:47:34.433064,2025-03-25 17:47:36.314760,0 days 00:00:01.881696,100,2,6,450,COMPLETE
1,-1.0313087931148073,2025-03-25 17:47:36.315216,2025-03-25 17:47:37.716107,0 days 00:00:01.400891,55,1,8,325,COMPLETE
2,-0.9771499749145401,2025-03-25 17:47:37.716384,2025-03-25 17:47:38.569615,0 days 00:00:00.853231,30,3,4,200,COMPLETE
3,-0.9720392685744264,2025-03-25 17:47:38.569948,2025-03-25 17:47:39.366515,0 days 00:00:00.796567,150,3,4,175,COMPLETE
4,-0.9606946258681397,2025-03-25 17:47:39.366867,2025-03-25 17:47:40.084511,0 days 00:00:00.717644,15,3,8,150,COMPLETE
5,-0.9662620723227597,2025-03-25 17:47:40.084832,2025-03-25 17:47:41.538829,0 days 00:00:01.453997,180,3,10,475,COMPLETE
6,-0.9758393118225897,2025-03-25 17:47:41.539092,2025-03-25 17:47:42.552201,0 days 00:00:01.013109,55,2,7,250,COMPLETE
7,-1.0295337189923963,2025-03-25 17:47:42.552513,2025-03-25 17:47:43.060070,0 days 00:00:00.507557,140,1,8,50,COMPLETE
8,-1.1512620157683502,2025-03-25 17:47:43.060346,2025-03-25 17:47:44.218927,0 days 00:00:01.158581,135,1,4,250,COMPLETE
9,-0.9662553983093382,2025-03-25 17:47:44.219218,2025-03-25 17:47:45.415774,0 days 00:00:01.196556,90,3,10,350,COMPLETE
10,-1.0554914141658223,2025-03-25 17:47:45.416081,2025-03-25 17:47:45.916430,0 days 00:00:00.500349,10,4,2,50,COMPLETE
11,-1.022362567545945,2025-03-25 17:47:45.916693,2025-03-25 17:47:47.127756,0 days 00:00:01.211063,85,4,10,375,COMPLETE
12,-0.9533332902267132,2025-03-25 17:47:47.128060,2025-03-25 17:47:47.859153,0 days 00:00:00.731093,75,3,9,150,COMPLETE
13,-1.0425593876104704,2025-03-25 17:47:47.859425,2025-03-25 17:47:48.569717,0 days 00:00:00.710292,50,4,8,125,COMPLETE
14,-0.9842147145176958,2025-03-25 17:47:48.569974,2025-03-25 17:47:49.252688,0 days 00:00:00.682714,15,2,6,125,COMPLETE
